speaker,gender,region,height,word,vowel,duration,F1,F2,F3,f0
cjf0,female,1,162.56,SHE,IY,0.08,486.2,2467.9,3185.1,244.9
cjf0,female,1,162.56,HAD,AE,0.1,595.1,2067,2976.7,241.6
cjf0,female,1,162.56,YOUR,UH,0.04,468.7,1956.1,3061.4,201.9
cjf0,female,1,162.56,DARK,AA,0.1,740.4,1674.1,2767.3,221.5
cjf0,female,1,162.56,SUIT,UW,0.17,464,1698,2904.9,232.6
cjf0,female,1,162.56,GREASY,IY,0.04,431.5,2186.3,2858.7,207.8
cjf0,female,1,162.56,WASH,AA,0.11,687.4,1309.6,2681.4,191.7
cjf0,female,1,162.56,WATER,AO,0.09,568,1105.9,2852.3,182.3
cjf0,female,1,162.56,ALL,AO,0.07,622.7,1170,2721.4,176.4
cjf0,female,1,162.56,YEAR,IH,0.03,513.5,1955,2451.2,165
cjf0,female,1,162.56,DON'T,OW,0.07,683.8,1682.7,2894.6,208.5
cjf0,female,1,162.56,ASK,AE,0.1,746.6,1927.7,3058.6,231.8
cjf0,female,1,162.56,ME,IY,0.03,593.1,1908.7,2971.8,230.4
cjf0,female,1,162.56,CARRY,AE,0.08,651.8,1874.7,2420.6,214.1
cjf0,female,1,162.56,RAG,AE,0.18,700.6,1941,2864.1,189
cjf0,female,1,162.56,THAT,AE,0.13,748.9,1803.8,2846.9,154
cjf0,female,1,162.56,EVEN,IY,0.22,388.2,2589.5,3216.6,276.7
cjf0,female,1,162.56,THEN,EH,0.14,783.9,2123.1,3139.5,210.4
cjf0,female,1,162.56,IF,IH,0.09,516.6,2236.9,3004.8,0
cjf0,female,1,162.56,SHE,IY,0.05,413.5,2182.5,3181.2,204.1
cjf0,female,1,162.56,TOOK,UH,0.08,406.3,1383.4,3112.7,197.7
cjf0,female,1,162.56,ONE,AH,0.06,707.8,1574.1,2521.8,208
cjf0,female,1,162.56,STEP,EH,0.07,513.5,1639.1,2832.4,105.1
cjf0,female,1,162.56,FORWARD,AO,0.13,659,1162.7,2700.7,202.5
cjf0,female,1,162.56,HE,IY,0.06,382,2368,2946.8,196.6
cjf0,female,1,162.56,COULD,UH,0.06,405.5,1853,2901.4,200.4
cjf0,female,1,162.56,CATCH,AE,0.12,729.4,1982.1,2762.6,87.5
cjf0,female,1,162.56,HER,ER,0.09,571.8,1792.7,2817.6,75
cjf0,female,1,162.56,OR,AO,0.09,526.8,1098.2,2874.6,257.1
cjf0,female,1,162.56,BORROW,AA,0.1,728.6,1364,2323.3,217.3
cjf0,female,1,162.56,SOME,AH,0.03,401.6,1563,2813.2,225.4
cjf0,female,1,162.56,MONEY,AH,0.05,783.6,1578.8,2869.3,214.5
cjf0,female,1,162.56,FROM,AH,0.03,448.2,2016.9,2902.5,196.6
cjf0,female,1,162.56,SOMEONE,AH,0.06,788.2,1345.4,3149.9,201.6
cjf0,female,1,162.56,AND,AE,0.08,701.1,2285.9,3013,182.3
cjf0,female,1,162.56,GO,OW,0.06,984,1758.6,2837.1,197.8
cjf0,female,1,162.56,HOME,OW,0.09,774.2,2402.6,3345.9,188.8
cjf0,female,1,162.56,BUS,AH,0.15,727.1,1400.1,2965.6,159.8
cjf0,female,1,162.56,SAILBOAT,EY,0.06,537.9,1946.6,2966.6,227.8
cjf0,female,1,162.56,MAY,EY,0.11,573.8,2213.5,3084.1,219.9
cjf0,female,1,162.56,HAVE,AE,0.07,734.2,1680.4,2797.2,210.3
cjf0,female,1,162.56,BONE,OW,0.14,758.4,1029.5,3206.1,203.3
cjf0,female,1,162.56,TEETH,IY,0.12,416,2376.7,2994.5,205.5
cjf0,female,1,162.56,ONE,AH,0.03,659.3,1494.9,3038.1,204
cjf0,female,1,162.56,MINUTE,IH,0.04,708.7,2050.5,3076.4,202.7
cjf0,female,1,162.56,AND,AE,0.05,702.1,1912.3,3050.8,227.8
cjf0,female,1,162.56,BECALMED,AA,0.11,805.2,1343.9,3124.7,187.7
cjf0,female,1,162.56,NEXT,EH,0.15,739.6,2067.1,2889.2,162.9
cjf0,female,1,162.56,EMPEROR,EH,0.07,739.5,1807.6,2591.5,104.4
cjf0,female,1,162.56,HAD,AE,0.08,698.8,1851.6,2911.3,193
cjf0,female,1,162.56,MEAN,IY,0.1,664.8,2628.9,3164,206.4
cjf0,female,1,162.56,TEMPER,EH,0.08,758.5,1866.9,3023.1,187.7
cjf0,female,1,162.56,PERMANENT,ER,0.08,584.5,1420.5,2331.6,275
cjf0,female,1,162.56,ARE,AA,0.11,812.6,1430.3,2926,195.8
cjf0,female,1,162.56,THEIR,EH,0.09,555.3,1742,2357.8,183.5
cjf0,female,1,162.56,RECORDS,EH,0.08,633.9,1913.9,2751.5,174.7
cjf0,female,1,162.56,MEETING,IY,0.11,440.9,2415.3,3319.1,217.1
cjf0,female,1,162.56,ADJOURNED,ER,0.12,731.8,1633.1,2373.1,174.3
cjf0,female,1,162.56,CRITICAL,IH,0.06,486.1,1829.2,2453.8,241.6
cjf0,female,1,162.56,EQUIPMENT,IH,0.06,414.9,1552.7,2676.9,85.9
cjf0,female,1,162.56,NEEDS,IY,0.09,380.9,2363.7,3107.9,95.4
cjf0,female,1,162.56,PROPER,AA,0.09,757,1375.7,2436,197.3
cjf0,female,1,162.56,MAINTENANCE,EY,0.07,793.2,2264.3,3056,189.1
cjf0,female,1,162.56,TIM,IH,0.09,543,2089,2945.6,237.6
cjf0,female,1,162.56,TAKES,EY,0.08,481.7,2359.8,2839.1,247.8
cjf0,female,1,162.56,SHEILA,IY,0.1,467.6,2218,2830,231
cjf0,female,1,162.56,SEE,IY,0.07,407.2,2225.5,2849.9,204.4
cjf0,female,1,162.56,MOVIES,UW,0.08,428.3,1058.5,2942.8,209.2
cjf0,female,1,162.56,WEEK,IY,0.12,411.8,2490.2,2900.2,173.4
daw0,female,1,162.56,SHE,IY,0.09,469,2228.1,2750.2,232.4
daw0,female,1,162.56,HAD,AE,0.11,693.1,1934,2835.5,230.9
daw0,female,1,162.56,YOUR,UH,0.04,412.2,2008.7,2729.8,210
daw0,female,1,162.56,DARK,AA,0.09,774.3,1426,2469.9,200.8
daw0,female,1,162.56,SUIT,UW,0.15,444.1,1702.2,2522.2,222.2
daw0,female,1,162.56,GREASY,IY,0.07,426.2,2119.2,2686.3,211.4
daw0,female,1,162.56,WASH,AA,0.13,770.3,1370.7,2531.5,192.3
daw0,female,1,162.56,WATER,AO,0.15,758.4,1276.2,2536.7,185.7
daw0,female,1,162.56,ALL,AO,0.14,839.1,1351.3,2596.6,184.6
daw0,female,1,162.56,YEAR,IH,0.06,542.5,1753.6,2364.6,171.3
daw0,female,1,162.56,DON'T,OW,0.1,724.6,1576.2,2962.6,223.7
daw0,female,1,162.56,ASK,AE,0.11,731.9,1723.6,2761.4,246.3
daw0,female,1,162.56,ME,IY,0.03,522.7,1918.3,2793.1,225.2
