speaker	gender	file	t	word	vowel	stress	duration	f1	f2	f3	f0
fbjl0	female	sa1	0.3725	SHE	IY	1	0.1000	403.1	2801.9	3251.8	315.3
fbjl0	female	sa1	0.5375	HAD	AE	1	0.0700	635.7	1955.3	2777.4	231.7
fbjl0	female	sa1	0.6775	YOUR	UH	1	0.0300	425.1	1925.1	2354.2	212.1
fbjl0	female	sa1	0.8475	DARK	AA	1	0.1100	777.2	1255.3	2145.3	202.4
fbjl0	female	sa1	1.2975	SUIT	UW	1	0.1500	402.6	2131.0	2570.9	195.9
fbjl0	female	sa1	1.4775	IN	IH	1	0.0700	541.9	2462.1	2899.5	207.3
fbjl0	female	sa1	1.7825	GREASY	IY	1	0.0600	454.2	2438.8	3169.1	220.0
fbjl0	female	sa1	2.0025	GREASY	IY	0	0.0800	607.8	1880.0	2633.4	246.9
fbjl0	female	sa1	2.2075	WASH	AA	1	0.1100	760.0	1197.6	2389.6	198.5
fbjl0	female	sa1	2.5375	WATER	AO	1	0.1100	777.3	1329.5	2526.9	174.4
fbjl0	female	sa1	2.6975	WATER	ER	0	0.1500	675.8	1304.7	1825.0	130.6
fbjl0	female	sa1	2.8425	ALL	AO	1	0.1400	775.9	1174.1	2823.9	188.2
fbjl0	female	sa1	3.2325	YEAR	IH	1	0.0400	524.5	1669.6	2273.1	170.2
fbjl0	female	sa2	0.2225	DON'T	OW	1	0.0800	687.0	1650.1	2637.8	230.2
fbjl0	female	sa2	0.4275	ASK	AE	1	0.1900	813.2	1928.2	2859.9	223.2
fbjl0	female	sa2	0.7775	ME	IY	1	0.1100	396.5	2585.5	3195.7	196.5
fbjl0	female	sa2	0.9475	TO	IH	0	0.0300	978.8	2561.4	3150.0	200.8
fbjl0	female	sa2	1.1175	CARRY	AE	1	0.0500	565.6	1968.5	2346.0	214.0
fbjl0	female	sa2	1.2875	CARRY	IY	0	0.0900	478.6	2325.7	2824.8	202.0
fbjl0	female	sa2	1.3475	AN	AE	1	0.0300	688.6	1946.0	2752.0	199.8
fbjl0	female	sa2	1.5275	OILY	OY	1	0.1700	588.9	1322.4	2616.0	198.1
fbjl0	female	sa2	1.7175	OILY	IY	0	0.0900	387.3	1636.5	2302.3	196.9
fbjl0	female	sa2	1.9225	RAG	AE	1	0.1800	826.4	1858.8	2609.5	192.4
fbjl0	female	sa2	2.1425	LIKE	AY	1	0.0800	729.2	1673.4	2570.5	172.7
fbjl0	female	sa2	2.4075	THAT	AE	1	0.2500	905.8	1752.7	2757.0	86.5
fbjl0	female	si1552	0.2975	OUTSIDE	AW	1	0.1900	928.8	1538.1	2803.3	227.7
fbjl0	female	si1552	0.6775	OUTSIDE	AY	1	0.2500	873.6	1559.1	2741.2	207.6
fbjl0	female	si1552	0.9725	ONLY	OW	1	0.1400	688.1	1204.9	2923.2	207.9
fbjl0	female	si1552	1.1725	ONLY	IY	0	0.1000	507.7	2509.3	2875.5	208.1
fbjl0	female	si1552	1.2375	A	AH	0	0.0300	784.9	2022.5	2720.2	199.6
fbjl0	female	si1552	1.4475	HANDFUL	AE	1	0.0900	788.3	1900.1	3022.1	202.9
fbjl0	female	si1552	1.7075	HANDFUL	UH	2	0.0300	499.7	1113.0	3070.4	255.8
fbjl0	female	si1552	1.7775	OF	AH	0	0.0300	571.0	1975.7	3097.6	243.3
fbjl0	female	si1552	1.9475	REPORTERS	AH	0	0.0300	720.4	1927.2	3111.0	246.7
fbjl0	female	si1552	2.1525	REPORTERS	AO	1	0.1000	450.6	1030.8	2327.3	209.0
fbjl0	female	si1552	2.2975	REPORTERS	ER	0	0.0700	397.8	1790.6	2554.0	198.7
fbjl0	female	si1552	2.4875	REMAINED	IY	0	0.0500	505.4	1989.5	3185.6	199.8
fbjl0	female	si1552	2.6975	REMAINED	EY	1	0.2100	652.8	2513.2	2993.1	165.0
fbjl0	female	si2182	0.2425	NATURALLY	AE	1	0.1400	895.4	1847.5	2890.2	222.7
fbjl0	female	si2182	0.4875	NATURALLY	AH	0	0.0300	611.4	1183.0	3032.8	298.2
fbjl0	female	si2182	0.6125	NATURALLY	IY	0	0.1200	355.8	2584.4	3163.2	298.5
fbjl0	female	si2182	0.7925	CURLY	ER	1	0.1200	553.3	1404.7	1872.6	236.4
fbjl0	female	si2182	0.9675	CURLY	IY	0	0.0900	493.3	2534.0	3133.0	250.9
fbjl0	female	si2182	1.1625	HAIR	EH	1	0.1600	610.1	1767.9	2128.2	189.1
fbjl0	female	si2182	1.4325	RUNS	AH	1	0.0600	692.2	1748.9	2975.1	192.8
fbjl0	female	si2182	1.6375	IN	AH	0	0.0300	433.5	1881.9	2861.8	212.1
fbjl0	female	si2182	1.8175	MY	AY	1	0.0900	769.9	1819.7	2758.8	191.5
fbjl0	female	si2182	2.0475	FAMILY	AE	1	0.1300	732.9	1980.7	2869.2	191.6
fbjl0	female	si2182	2.3475	FAMILY	IY	0	0.1500	528.0	2597.6	2877.0	206.7
fbjl0	female	si922	0.1525	IN	IH	1	0.1000	555.6	2371.8	2984.1	230.4
fbjl0	female	si922	0.3875	TRADITION	AH	0	0.0300	389.8	2024.8	2569.0	227.0
fbjl0	female	si922	0.5025	TRADITION	IH	1	0.0600	572.2	2127.8	2851.1	270.1
fbjl0	female	si922	0.6975	TRADITION	AH	0	0.0300	690.3	1879.4	3034.2	322.5
fbjl0	female	si922	0.7975	AND	AE	1	0.0500	671.2	1995.0	3000.1	252.0
fbjl0	female	si922	0.8975	IN	AH	0	0.0300	444.4	1567.2	2344.0	219.0
fbjl0	female	si922	1.1575	POETRY	OW	1	0.1300	618.1	1471.8	2548.1	236.1
fbjl0	female	si922	1.2425	POETRY	AH	0	0.0400	441.6	1948.5	2749.6	222.0
