speaker	gender	file	t	word	vowel	stress	duration	f1	f2	f3	f0
falr0	female	sa1	0.2825	SHE	IY	1	0.0400	490.2	2420.5	3113.0	233.7
falr0	female	sa1	0.4425	HAD	AE	1	0.0800	537.0	2099.1	2933.5	227.1
falr0	female	sa1	0.5975	YOUR	UH	1	0.0300	430.5	2045.4	2947.8	207.8
falr0	female	sa1	0.7675	DARK	AA	1	0.1100	757.3	1483.1	2333.9	215.5
falr0	female	sa1	1.1525	SUIT	UW	1	0.1600	430.5	1932.9	2574.0	215.4
falr0	female	sa1	1.3425	IN	IH	1	0.0800	548.7	2326.2	2693.7	0.0
falr0	female	sa1	1.5775	GREASY	IY	1	0.0500	447.1	2319.5	2843.8	221.4
falr0	female	sa1	1.7375	GREASY	IY	0	0.0700	447.2	1859.3	2496.6	226.4
falr0	female	sa1	1.9175	WASH	AA	1	0.0900	771.3	1397.3	2189.9	201.2
falr0	female	sa1	2.2125	WATER	AO	1	0.1200	745.7	1357.6	2294.8	192.9
falr0	female	sa1	2.3825	WATER	ER	0	0.1600	617.0	1378.4	1846.6	189.0
falr0	female	sa1	2.5325	ALL	AO	1	0.1400	710.1	1082.6	2577.6	187.6
falr0	female	sa1	2.8275	YEAR	IH	1	0.0500	557.7	1792.7	2248.4	184.8
falr0	female	sa2	0.2175	DON'T	OW	1	0.0900	652.8	1578.5	2619.7	222.2
falr0	female	sa2	0.3675	ASK	AE	1	0.1100	820.9	1953.6	2886.8	235.3
falr0	female	sa2	0.6825	ME	IY	1	0.1400	443.4	2646.4	3147.7	223.1
falr0	female	sa2	0.8525	TO	IH	0	0.0400	651.1	2259.0	3055.4	246.6
falr0	female	sa2	1.0675	CARRY	AE	1	0.0900	551.1	1956.7	2355.3	214.4
falr0	female	sa2	1.2125	CARRY	IY	0	0.0600	448.3	2124.5	2558.6	211.2
falr0	female	sa2	1.2775	AN	AE	1	0.0700	647.2	1962.6	2894.0	200.0
falr0	female	sa2	1.4775	OILY	OY	1	0.1300	634.9	1211.6	2561.9	200.8
falr0	female	sa2	1.6725	OILY	IY	0	0.1000	470.2	1723.4	2639.5	196.4
falr0	female	sa2	1.8925	RAG	AE	1	0.1600	858.7	1857.2	2652.8	188.7
falr0	female	sa2	2.1475	LIKE	AY	1	0.1100	736.3	1903.0	2980.2	99.4
falr0	female	sa2	2.4175	THAT	AE	1	0.1700	891.0	1648.1	2734.1	0.0
falr0	female	si1325	0.2725	QUITE	AY	1	0.1000	694.8	1915.0	2594.3	215.8
falr0	female	si1325	0.4275	OFTEN	AO	1	0.1500	823.8	1360.5	2591.2	223.3
falr0	female	si1325	0.6375	OFTEN	AH	0	0.0300	512.7	1676.7	2821.8	265.2
falr0	female	si1325	0.8225	HONEYBEES	AH	1	0.0400	546.5	1857.7	2975.4	243.9
falr0	female	si1325	0.9225	HONEYBEES	IY	0	0.0800	525.8	2320.2	2823.7	256.1
falr0	female	si1325	1.0925	HONEYBEES	IY	2	0.1200	477.6	2448.3	2852.5	236.3
falr0	female	si1325	1.3325	FORM	AO	1	0.0600	734.0	1934.7	3638.2	226.5
falr0	female	si1325	1.4425	A	AH	0	0.0400	538.6	1498.2	2307.4	243.4
falr0	female	si1325	1.5825	MAJORITY	AH	0	0.0400	444.6	1933.1	2848.3	243.7
falr0	female	si1325	1.7275	MAJORITY	AO	1	0.0300	548.2	1497.0	2104.3	218.4
falr0	female	si1325	1.8575	MAJORITY	AH	0	0.0300	460.9	1985.9	2477.4	210.2
falr0	female	si1325	1.9525	MAJORITY	IY	0	0.1000	448.3	2278.0	2741.1	203.6
falr0	female	si1325	2.0275	ON	AA	1	0.0500	723.4	1575.7	2985.2	196.6
falr0	female	si1325	2.1475	THE	AH	0	0.0300	520.0	1173.7	2693.6	196.7
falr0	female	si1325	2.2775	WILLOW	IH	1	0.0300	578.6	1319.1	2838.2	190.6
falr0	female	si1325	2.4025	WILLOW	OW	2	0.0800	559.6	1542.6	2779.5	184.3
falr0	female	si1325	2.6075	CATKINS	AE	1	0.0900	859.2	1872.5	2649.2	89.7
falr0	female	si1325	2.7875	CATKINS	AH	0	0.0500	614.6	1772.1	2666.5	112.8
falr0	female	si1955	0.2275	LIKE	AY	1	0.1300	836.3	1554.8	2754.1	225.2
falr0	female	si1955	0.3975	ENOUGH	AH	0	0.0500	498.6	2124.1	2971.6	257.6
falr0	female	si1955	0.5475	ENOUGH	AH	1	0.0900	742.1	1570.0	2684.4	220.1
falr0	female	si1955	0.7775	WE'LL	IH	1	0.0300	428.1	1201.3	3100.4	207.9
falr0	female	si1955	0.9125	ALL	AO	1	0.1200	789.4	1251.6	2900.6	207.1
falr0	female	si1955	1.1575	BE	IY	0	0.1300	429.4	2531.2	3007.1	214.9
falr0	female	si1955	1.2625	UP	AH	1	0.0800	684.6	1468.2	2612.7	205.0
falr0	female	si1955	1.4125	ON	AA	1	0.0600	690.7	1530.7	3139.6	210.1
falr0	female	si1955	1.6675	TOP	AA	1	0.1300	891.9	1468.7	2521.6	203.7
falr0	female	si1955	1.8725	BY	AY	1	0.0400	521.3	2231.7	3085.3	100.8
falr0	female	si1955	2.0825	SUNDOWN	AH	1	0.1000	742.4	1617.1	3027.4	200.6
falr0	female	si1955	2.3075	SUNDOWN	AW	2	0.1500	939.3	1540.5	2992.1	181.8
falr0	female	si695	0.1975	THE	IY	0	0.0700	475.8	2590.8	3158.9	236.4
falr0	female	si695	0.4075	NEW	UW	1	0.0300	667.4	1792.3	2754.8	267.6
falr0	female	si695	0.6175	BIRTH	ER	1	0.1900	613.1	1580.8	1971.5	231.8
falr0	female	si695	0.8625	IS	IH	1	0.0400	439.2	2176.5	2849.5	221.4
falr0	female	si695	1.0325	IMMEDIATE	IH	2	0.0400	407.9	2126.5	3187.3	202.9
falr0	female	si695	1.1775	IMMEDIATE	IY	1	0.1100	458.5	2674.6	3213.5	224.0
falr0	female	si695	1.3125	IMMEDIATE	IY	0	0.1000	483.3	2506.5	3138.1	239.7
falr0	female	si695	1.4175	IMMEDIATE	AH	0	0.1100	524.8	2058.2	2954.1	246.5
falr0	female	si695	1.6325	AND	AE	1	0.0600	572.5	2090.3	3027.2	216.2
falr0	female	si695	1.7425	INSTANTANEOUS	IH	2	0.0400	474.1	2051.9	3135.0	210.3
falr0	female	si695	1.9775	INSTANTANEOUS	AH	0	0.0300	457.7	1965.3	2996.0	217.0
falr0	female	si695	2.1525	INSTANTANEOUS	AE	1	0.0400	562.0	2170.8	3024.7	224.1
falr0	female	si695	2.3425	INSTANTANEOUS	IY	0	0.1000	572.2	2479.4	2963.6	187.7
falr0	female	si695	2.4275	INSTANTANEOUS	AH	0	0.0700	654.0	1696.6	2895.6	232.8
falr0	female	sx155	0.1725	THE	AH	0	0.0600	435.5	1314.8	2686.3	220.6
falr0	female	sx155	0.3275	WATER	AO	1	0.1100	757.4	1593.0	2622.9	228.3
falr0	female	sx155	0.4375	WATER	ER	0	0.0500	517.1	1839.1	2168.7	250.9
falr0	female	sx155	0.5625	CONTAINED	AH	0	0.0400	495.0	2052.6	2745.5	259.8
falr0	female	sx155	0.8275	CONTAINED	EY	1	0.1900	516.2	2396.6	2970.0	215.7
falr0	female	sx155	1.1375	TOO	UW	1	0.0700	508.2	1639.7	2798.3	241.6
falr0	female	sx155	1.2825	MUCH	AH	1	0.0800	675.8	1740.7	2584.4	243.3
falr0	female	sx155	1.6125	CHLORINE	AO	1	0.0800	630.7	1284.8	2419.8	225.1
falr0	female	sx155	1.8075	CHLORINE	IY	0	0.1300	511.8	2355.7	2838.5	196.2
falr0	female	sx155	1.9625	AND	AE	1	0.1000	596.1	1985.0	2944.6	250.8
falr0	female	sx155	2.2675	STUNG	AH	1	0.0900	775.4	1453.8	2859.2	203.5
falr0	female	sx155	2.4675	HIS	AH	0	0.0300	508.1	1866.6	2910.6	204.6
falr0	female	sx155	2.6625	EYES	AY	1	0.2400	864.9	1600.2	2803.1	173.6
falr0	female	sx245	0.3075	DOES	AH	0	0.0500	454.1	1909.8	2828.3	223.7
falr0	female	sx245	0.5075	HINDU	IH	1	0.0500	530.4	1991.1	3060.0	249.3
falr0	female	sx245	0.7275	HINDU	UW	2	0.1300	518.3	1870.8	2745.3	255.4
falr0	female	sx245	0.8075	IDEOLOGY	AY	2	0.0300	465.8	2221.2	2754.6	238.8
falr0	female	sx245	1.0325	IDEOLOGY	IY	0	0.1000	440.2	2513.2	3106.2	215.7
falr0	female	sx245	1.1175	IDEOLOGY	AA	1	0.0700	828.6	1711.5	2531.0	206.0
falr0	female	sx245	1.3125	IDEOLOGY	AH	0	0.0400	468.4	1919.5	3057.2	218.4
falr0	female	sx245	1.5175	IDEOLOGY	IY	0	0.1700	434.6	2427.8	3075.4	220.3
falr0	female	sx245	1.6775	HONOR	AA	1	0.1500	723.2	1455.7	3001.2	209.6
falr0	female	sx245	1.8175	HONOR	ER	0	0.0700	570.6	1674.6	2055.7	198.1
falr0	female	sx245	2.0975	COWS	AW	1	0.2700	769.4	1322.8	2912.5	204.8
falr0	female	sx335	0.2175	GUS	AH	1	0.0900	770.7	1652.9	2752.7	233.1
falr0	female	sx335	0.4925	SAW	AO	1	0.1400	786.6	1292.8	2687.7	232.4
falr0	female	sx335	0.7625	PINE	AY	1	0.1600	685.3	1952.4	2971.4	231.1
falr0	female	sx335	1.0675	TREES	IY	1	0.0900	491.8	2254.9	2740.6	240.0
falr0	female	sx335	1.2025	AND	AH	0	0.0400	532.1	1825.5	2642.8	225.0
falr0	female	sx335	1.3875	REDWOODS	EH	1	0.0900	624.3	1945.8	2796.9	210.3
