language,height,clo,vot,pclo,tclo,kclo,pvot,tvot,kvot,class
English,162.5,22.966667,88.827667,22,20.7,26.2,86.985,87.8774,91.6206,Fall 2015
English,177,50.666667,54.666667,81,32,39,72,49,43,Fall 2015
English,170.18,70,166.666667,70,70,70,150,230,120,Fall 2015
English,178,39.666667,145.666667,34,56,29,170,190,77,Fall 2015
English,177.8,100.333333,154,144,94,63,132,153,177,Fall 2015
Cantonese,163,155.666667,137.623667,169,162,136,107.376,146.495,159,Fall 2015
English,149.86,132.664,122.438,149.83,135.162,113,104.658,140.656,122,Fall 2015
English,162,98,119,114,73,107,104,140,113,Fall 2015
English,178,72.115333,85.184,114.346,62,40,108.563,134.802,12.187,Fall 2015
English,167.64,122.333333,105,132,132,103,96,133,86,Fall 2015
English,157.48,113.333333,120,120,120,100,120,130,110,Fall 2015
English,162.56,123.666667,98,122,126,123,88,123,83,Fall 2015
Russian,175,61,100,60,46,77,81,121,98,Fall 2015
English,170.7,121.666667,83.333333,105,140,120,36,120,94,Fall 2015
Mandarin,158,70,112.333333,85,69,56,106,119,112,Fall 2015
English,181,55.185,72.604,41.946,74.909,48.7,35.996,113.278,68.538,Fall 2015
English,165.1,63.633333,103.133333,55,68.5,67.4,102.4,112.7,94.3,Fall 2015
English,156.21,83,111.333333,84,91,74,85,112,137,Fall 2015
English,173.74,201,100.666667,245,169,189,100,111,91,Fall 2015
English,163,57.666667,125,74,35,64,122,110,143,Fall 2015
Japanese,164,65.333333,96.666667,95,57,44,98,110,82,Fall 2015
Mandarin,160.02,78.172333,84.078333,86,63.517,85,72.022,108.944,71.269,Fall 2015
English,167,85,115,86,95,74,117,107,121,Fall 2015
English,157,122.293,101.067,139.609,125.335,101.935,93.512,105.495,104.194,Fall 2015
English,185.42,17.008,94.180667,10.695,12.884,27.445,95.729,104.884,81.929,Fall 2015
Korean,180,185.9,112.2,177.7,176,204,110.5,103.7,122.4,Fall 2015
Mandarin,170.18,143.6,110.953333,134.8,145.8,150.2,124.86,102.5,105.5,Fall 2015
English,172.72,83.066667,93.666667,83.3,84.9,81,64,102,115,Fall 2015
English,172,144.816667,79.004,161.54,124.129,148.781,58.388,101.638,76.986,Fall 2015
English,162,98.361333,95.913333,93.101,115.461,86.522,71.652,100.435,115.653,Fall 2015
Cantonese,168,61.554667,108.048,51.451,69.225,63.988,111.461,100.115,112.568,Fall 2015
Spanish,165.1,143.333333,100,150,140,140,100,100,100,Fall 2015
English,172,57,102.666667,54,48,69,84,100,124,Fall 2015
English,175,67.333333,82.132,69,62,71,57.92,99.655,88.821,Fall 2015
English,157,79,92.333333,108,61,68,96,99,82,Fall 2015
English,170,92.333333,123.666667,83,81,113,130,98,143,Fall 2015
Tagalog,161,55,98,70,56,39,94,98,102,Fall 2015
English,177.8,49.9,72.8,41.2,52.5,56,44.9,97.5,76,Fall 2015
English,152.4,71.860333,101.878,94.083,70.92,50.578,135.244,97.39,73,Fall 2015
English,162,129.333333,94.666667,133,123,132,91,97,96,Fall 2015
English,182.88,98.333333,84,120,79,96,60,96,96,Fall 2015
English,177.8,93.666667,86.666667,86,97,98,84,95,81,Fall 2015
Mandarin,160,42.666667,86,50,29,49,77,95,86,Fall 2015
English,170.18,78.407,95.444333,84.9,80.124,70.197,93.467,94.306,98.56,Fall 2015
English,162,66.333333,77,78,58,63,58,93,80,Fall 2015
Korean,175,107.290667,102.998,110.79,139.144,71.938,89,92.763,127.231,Fall 2015
