speaker	gender	file	t	word	vowel	stress	duration	f1	f2	f3	f0
fapb0	female	sa1	0.2875	SHE	IY	1	0.0900	436.3	2289.5	3010.8	212.3
fapb0	female	sa1	0.4925	HAD	AE	1	0.1200	612.6	2052.5	3074.1	188.8
fapb0	female	sa1	0.7725	YOUR	UH	1	0.0600	468.7	1959.9	2852.9	188.4
fapb0	female	sa1	1.0125	DARK	AA	1	0.1600	732.2	1228.9	2185.4	198.9
fapb0	female	sa1	1.4675	SUIT	UW	1	0.2100	405.4	1702.3	2746.3	197.7
fapb0	female	sa1	1.6625	IN	IH	1	0.0800	530.0	2230.2	3045.6	166.0
fapb0	female	sa1	2.0125	GREASY	IY	1	0.0800	406.9	2454.9	2897.1	207.2
fapb0	female	sa1	2.2125	GREASY	IY	0	0.0600	411.7	2255.4	2697.6	209.4
fapb0	female	sa1	2.4625	WASH	AA	1	0.1200	712.5	1265.6	2422.4	195.7
fapb0	female	sa1	2.8475	WATER	AO	1	0.1300	565.5	1173.9	2626.0	183.7
fapb0	female	sa1	3.0025	WATER	ER	0	0.1200	493.4	1177.0	1967.4	152.6
fapb0	female	sa1	3.1225	ALL	AO	1	0.1200	581.6	962.5	3001.3	192.1
fapb0	female	sa1	3.4825	YEAR	IH	1	0.0400	623.4	1829.4	2341.2	179.3
fapb0	female	sa2	0.2375	DON'T	OW	1	0.1300	654.7	1470.4	2915.8	217.6
fapb0	female	sa2	0.5025	ASK	AE	1	0.2600	666.3	2264.7	2924.1	207.1
fapb0	female	sa2	0.8775	ME	IY	1	0.0900	335.1	2287.5	3197.0	186.3
fapb0	female	sa2	1.0475	TO	AH	0	0.0700	956.0	2213.7	3313.3	81.4
fapb0	female	sa2	1.2625	CARRY	AE	1	0.1200	784.6	1720.2	2331.7	184.3
fapb0	female	sa2	1.4475	CARRY	IY	0	0.0700	498.8	2289.5	2595.5	187.6
fapb0	female	sa2	1.5225	AN	AE	1	0.0800	684.8	2115.3	2898.2	181.6
fapb0	female	sa2	1.8225	OILY	OY	1	0.1800	653.1	1237.6	2602.4	186.4
fapb0	female	sa2	2.0375	OILY	IY	0	0.0700	563.6	1663.5	2489.1	182.1
fapb0	female	sa2	2.3075	RAG	AE	1	0.1500	670.6	2002.8	2537.0	172.3
fapb0	female	sa2	2.5675	LIKE	AY	1	0.0900	748.0	1642.8	2566.8	144.7
fapb0	female	sa2	2.8475	THAT	AE	1	0.2500	732.2	1814.0	2619.1	155.7
fapb0	female	si1063	0.2075	NO	OW	1	0.1100	641.7	1574.5	2749.3	190.3
fapb0	female	si1063	0.4875	QUESTION	EH	1	0.0700	632.2	1986.2	2762.6	215.1
fapb0	female	si1063	0.7275	QUESTION	AH	0	0.0300	552.5	1897.7	2881.5	223.8
fapb0	female	si1063	1.0075	RUFFLES	AH	1	0.0700	689.7	1382.4	2542.1	199.3
fapb0	female	si1063	1.1775	RUFFLES	AH	0	0.0300	489.8	1068.6	3168.9	222.8
fapb0	female	si1063	1.5175	HIM	IH	1	0.0700	645.8	1805.5	2725.8	200.3
fapb0	female	si1063	1.7875	OR	AO	1	0.2300	712.9	1888.8	3050.1	184.3
fapb0	female	si1063	2.1175	CAUSES	AA	1	0.1300	601.2	1239.8	2766.6	201.3
fapb0	female	si1063	2.3375	CAUSES	AH	0	0.0300	411.2	1831.4	2880.8	199.3
