language,height,clo,vot,pclo,tclo,kclo,pvot,tvot,kvot,class
English,162.5,0.022966667000000003,0.088827667,0.022,0.0207,0.0262,0.086985,0.0878774,0.0916206,Spring 2017
English,177.0,0.050666667,0.054666667,0.081,0.032,0.039,0.07200000000000001,0.049,0.043,Spring 2017
English,170.18,0.07,0.166666667,0.07,0.07,0.07,0.15,0.23,0.12,Spring 2017
English,178.0,0.039666667,0.145666667,0.034,0.056,0.029,0.17,0.19,0.077,Spring 2017
English,177.8,0.100333333,0.154,0.14400000000000002,0.094,0.063,0.132,0.153,0.177,Spring 2017
Cantonese,163.0,0.15566666699999998,0.137623667,0.16899999999999998,0.162,0.136,0.107376,0.146495,0.159,Spring 2017
English,149.86,0.132664,0.122438,0.14983,0.13516199999999998,0.113,0.104658,0.140656,0.122,Spring 2017
English,162.0,0.098,0.119,0.114,0.073,0.107,0.104,0.14,0.113,Spring 2017
English,178.0,0.072115333,0.08518400000000001,0.114346,0.062,0.04,0.108563,0.134802,0.012187,Spring 2017
English,167.64,0.122333333,0.105,0.132,0.132,0.103,0.096,0.133,0.086,Spring 2017
English,157.48,0.113333333,0.12,0.12,0.12,0.1,0.12,0.13,0.11,Spring 2017
English,162.56,0.123666667,0.098,0.122,0.126,0.123,0.08800000000000001,0.123,0.083,Spring 2017
Russian,175.0,0.061,0.1,0.06,0.046,0.077,0.081,0.121,0.098,Spring 2017
English,170.7,0.121666667,0.083333333,0.105,0.14,0.12,0.036000000000000004,0.12,0.094,Spring 2017
Mandarin Chinese,158.0,0.07,0.112333333,0.085,0.069,0.056,0.106,0.119,0.112,Spring 2017
English,181.0,0.055185000000000005,0.072604,0.041946,0.074909,0.0487,0.035996,0.113278,0.068538,Spring 2017
English,165.1,0.063633333,0.103133333,0.055,0.0685,0.0674,0.1024,0.1127,0.0943,Spring 2017
English,156.21,0.083,0.111333333,0.084,0.091,0.07400000000000001,0.085,0.112,0.13699999999999998,Spring 2017
English,173.74,0.201,0.100666667,0.245,0.16899999999999998,0.189,0.1,0.111,0.091,Spring 2017
English,163.0,0.05766666700000001,0.125,0.07400000000000001,0.035,0.064,0.122,0.11,0.14300000000000002,Spring 2017
Japanese,164.0,0.065333333,0.096666667,0.095,0.057,0.044,0.098,0.11,0.08199999999999999,Spring 2017
Mandarin,160.02,0.078172333,0.084078333,0.086,0.06351699999999999,0.085,0.072022,0.108944,0.071269,Spring 2017
English,167.0,0.085,0.115,0.086,0.095,0.07400000000000001,0.117,0.107,0.121,Spring 2017
English,157.0,0.122293,0.101067,0.13960899999999998,0.125335,0.101935,0.093512,0.105495,0.104194,Spring 2017
English,185.42,0.017008000000000002,0.094180667,0.010695,0.012884,0.027445,0.095729,0.104884,0.081929,Spring 2017
Korean,180.0,0.1859,0.1122,0.1777,0.17600000000000002,0.204,0.1105,0.1037,0.1224,Spring 2017
Chinese,170.18,0.1436,0.110953333,0.1348,0.1458,0.1502,0.12485999999999997,0.1025,0.1055,Spring 2017
English,172.72,0.083066667,0.093666667,0.0833,0.0849,0.081,0.064,0.102,0.115,Spring 2017
English,172.0,0.14481666699999998,0.07900399999999999,0.16154000000000002,0.124129,0.148781,0.058388,0.101638,0.076986,Spring 2017
English,162.0,0.098361333,0.095913333,0.093101,0.115461,0.086522,0.071652,0.100435,0.115653,Spring 2017
Cantonese,168.0,0.061554667,0.108048,0.051451,0.069225,0.063988,0.111461,0.100115,0.112568,Spring 2017
Spanish,165.1,0.143333333,0.1,0.15,0.14,0.14,0.1,0.1,0.1,Spring 2017
English,172.0,0.057,0.102666667,0.054000000000000006,0.048,0.069,0.084,0.1,0.124,Spring 2017
English,175.0,0.067333333,0.08213200000000001,0.069,0.062,0.071,0.05792000000000001,0.099655,0.088821,Spring 2017
English,157.0,0.079,0.092333333,0.108,0.061,0.068,0.096,0.099,0.08199999999999999,Spring 2017
English,170.0,0.092333333,0.123666667,0.083,0.081,0.113,0.13,0.098,0.14300000000000002,Spring 2017
Tagalog,161.0,0.055,0.098,0.07,0.056,0.039,0.094,0.098,0.102,Spring 2017
English,177.8,0.0499,0.0728,0.0412,0.0525,0.056,0.0449,0.0975,0.076,Spring 2017
English,152.4,0.071860333,0.101878,0.094083,0.07092000000000001,0.050578,0.135244,0.09739,0.073,Spring 2017
English,162.0,0.129333333,0.094666667,0.133,0.123,0.132,0.091,0.097,0.096,Spring 2017
English,182.88,0.098333333,0.084,0.12,0.079,0.096,0.06,0.096,0.096,Spring 2017
English,177.8,0.093666667,0.08666666699999999,0.086,0.097,0.098,0.084,0.095,0.081,Spring 2017
Cantonese & Mandarin,160.0,0.042666667,0.086,0.05,0.029,0.049,0.077,0.095,0.086,Spring 2017
English,170.18,0.078407,0.095444333,0.0849,0.080124,0.07019700000000001,0.093467,0.094306,0.09856,Spring 2017
English,162.0,0.066333333,0.077,0.078,0.058,0.063,0.058,0.093,0.08,Spring 2017
Korean,175.0,0.107290667,0.102998,0.11079,0.13914400000000002,0.071938,0.08900000000000001,0.092763,0.12723099999999998,Spring 2017
Korean,170.0,0.120333333,0.069333333,0.142,0.119,0.1,0.092,0.091,0.025,Spring 2017
Cantonese,165.0,0.115584333,0.123869333,0.127019,0.085774,0.13396,0.141675,0.09082,0.139113,Spring 2017
English,161.0,0.074666667,0.077,0.078,0.056,0.09,0.071,0.08900000000000001,0.071,Spring 2017
English,132.0,0.105333333,0.076,0.126,0.102,0.08800000000000001,0.09,0.08800000000000001,0.05,Spring 2017
English,152.4,0.079666667,0.08666666699999999,0.075,0.07200000000000001,0.092,0.068,0.08800000000000001,0.104,Spring 2017
English,153.0,0.080159667,0.093735667,0.086635,0.08165900000000001,0.072185,0.09969,0.087613,0.093904,Spring 2017
English,157.48,0.106333333,0.08633333300000001,0.14300000000000002,0.096,0.08,0.073,0.087,0.099,Spring 2017
English,182.88,0.089973333,0.092113,0.0776,0.0743,0.11802,0.108747,0.085537,0.08205499999999999,Spring 2017
English,185.0,0.049366667,0.072633333,0.0841,0.031,0.033,0.0579,0.085,0.075,Spring 2017
Korean,165.0,0.171885667,0.083139,0.195254,0.17917,0.141233,0.0598,0.084814,0.104803,Spring 2017
Mandarin,157.48,0.138,0.091233333,0.166,0.14400000000000002,0.104,0.0895,0.0848,0.0994,Spring 2017
English,161.29,0.100733333,0.0926,0.1312,0.0945,0.0765,0.0898,0.0837,0.1043,Spring 2017
English,180.0,0.042,0.07666666700000001,0.046,0.056,0.024,0.067,0.083,0.08,Spring 2017
Spanish,155.0,0.078,0.081666667,0.096,0.059,0.079,0.057,0.083,0.105,Spring 2017
English,183.0,0.025333333,0.067,0.032,0.025,0.019,0.059,0.077,0.065,Spring 2017
English,159.0,0.097156333,0.078865333,0.123407,0.093886,0.074176,0.072132,0.07619400000000001,0.08827,Spring 2017
English,155.0,0.073666667,0.078,0.068,0.083,0.07,0.081,0.076,0.077,Spring 2017
English,162.56,0.038833333,0.07643333299999999,0.022,0.0429,0.0516,0.0733,0.0752,0.0808,Spring 2017
SPANISH,175.26,0.007359566999999998,0.051546667,0.007953,0.0069377,0.007188,0.046582,0.074956,0.033102,Spring 2017
English,170.18,0.070143,0.069227333,0.03067,0.11699,0.062769,0.062289,0.073325,0.072068,Spring 2017
English,165.1,0.059248333,0.067692,0.065829,0.053447,0.058469000000000014,0.07584099999999999,0.07266399999999999,0.054571,Spring 2017
English,173.99,0.063,0.072666667,0.075,0.081,0.033,0.043,0.07200000000000001,0.103,Spring 2017
Mandarin Chinese,168.0,0.138483333,0.06976,0.1379,0.17165,0.1059,0.05995,0.07095,0.07837999999999999,Spring 2017
English,157.0,0.111666667,0.089333333,0.096,0.118,0.121,0.071,0.069,0.128,Spring 2017
English,164.6,0.037233333,0.079433333,0.0415,0.0553,0.0149,0.0861,0.0687,0.0835,Spring 2017
English,165.0,0.076,0.072666667,0.076,0.075,0.077,0.076,0.068,0.07400000000000001,Spring 2017
English,182.0,0.091035333,0.261897,0.080683,0.078547,0.113876,0.046183,0.067228,0.67228,Spring 2017
English,180.34,0.08721866699999999,0.060076,0.080342,0.093914,0.0874,0.051571000000000006,0.06514299999999999,0.063514,Spring 2017
English,165.1,0.056860333,0.075347,0.07306499999999999,0.04724,0.050276,0.077454,0.06498999999999999,0.083597,Spring 2017
English,183.0,0.118,0.075333333,0.126,0.12,0.108,0.057,0.064,0.105,Spring 2017
English,177.8,0.046,0.061333333,0.051,0.044,0.043,0.059,0.062,0.063,Spring 2017
English,165.0,0.06,0.058,0.07,0.06,0.05,0.044,0.06,0.07,Spring 2017
English,183.0,0.073102667,0.055368333,0.076989,0.073987,0.068332,0.068105,0.056,0.042,Spring 2017
English,169.0,0.106350333,0.060366667,0.123345,0.109197,0.086509,0.047258,0.054946,0.07889600000000001,Spring 2017
English,170.0,0.090333333,0.051,0.095,0.103,0.073,0.061,0.05,0.042,Spring 2017
English,172.0,0.074403333,0.04393,0.073489,0.080191,0.06953,0.031827,0.044963,0.055,Spring 2017
English,177.8,0.059533,0.029343,0.06396900000000001,0.057411,0.05721900000000001,0.016649,0.03718,0.0342,Spring 2017
English,165.1,0.028002333,0.068875667,0.020389,0.034015,0.029603,0.102494,0.015612,0.088521,Spring 2017
English,182.34,0.073666667,0.063,0.079,0.056,0.086,0.062,0.013,0.114,Spring 2017
Dutch,165.0,0.055493,0.023935667,0.08026599999999999,0.046239,0.039974,0.055211,0.0070989999999999985,0.009497,Spring 2017
English,183.0,0.030666667,0.019,0.012,0.03,0.05,0.03,0.006999999999999999,0.02,Spring 2017
